_type	layouts	name
anjuke	[{"img":"http://d.pic1.ajkimg.com/display/xinfang/374203da542679fead9f00084602b3e4/240x180n.jpg","name":"350㎡复式：","layout":"4室2厅3卫","area":"约350.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/83591ada3dcee4a2932727183c1f438c/240x180n.jpg","name":"190平户型：","layout":"3室2厅2卫","area":"约190.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/1fe28591c150e849406297fe0f0fbb8e/240x180n.jpg","name":"193平户型：","layout":"4室2厅3卫","area":"约193.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/d4f11b824611d1e8cf27b5b446eae2a1/240x180n.jpg","name":"249平户型：","layout":"3室2厅3卫","area":"约249.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/9c9af6d1138da56c93ab5f5c1733170a/240x180n.jpg","name":"249平户型：","layout":"4室2厅3卫","area":"约249.00平米"}]	万科翡翠江湾
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/ed71239df1ca3b53df10ceddf5cf009c/240x180n.jpg","name":"B户型：","layout":"3室2厅2卫","area":"约118.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/5f0470df0442584998d9bc5f19c575f2/240x180n.jpg","name":"A2户型：","layout":"2室2厅1卫","area":"约91.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/b0ccce05ffef173c8786fc465a435422/240x180n.jpg","name":"A1户型：","layout":"2室2厅1卫","area":"约90.00平米"}]	恒龙尚品
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/be787c08ac0b330be174b4b79390449e/240x180n.jpg","name":"C户型：","layout":"4室2厅2卫","area":"约200.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/a3e624fa965e49002b547c8d930f5cad/240x180n.jpg","name":"D户型：","layout":"3室2厅2卫","area":"约167.00平米"}]	长宁88金廷
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/0b75925b0e759c8fb49a01343cfebd1f/240x180n.jpg","name":"B户型：","layout":"3室2厅2卫","area":"约165.00平米"}]	金碧汇虹苑
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/d8f2c10921bdc4e4d5b48e3fdaef618d/240x180n.jpg","name":"叠墅K户型：","layout":"4室2厅3卫","area":"约218.16平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/ea20de950c55471527e3fcade3d1f140/240x180n.jpg","name":"洋房E户型：","layout":"4室2厅2卫","area":"约174.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/8448ec85f4710dfbc35fc3543882a363/240x180n.jpg","name":"G1户型：","layout":"4室2厅2卫","area":"约150.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/f23b5406a97228a680e498bfa6113b3a/240x180n.jpg","name":"叠墅A户型：","layout":"4室2厅3卫","area":"约199.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/eabeb33ca21ef9465936f12924f1f32a/240x180n.jpg","name":"E户型：","layout":"3室2厅2卫","area":"约133.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/d85cbb1c846c4fb7ddf185c233514df2/240x180n.jpg","name":"F户型：","layout":"3室2厅2卫","area":"约129.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/2522cb737ca2cd1eff65a0d0e78d6508/240x180n.jpg","name":"C户型：","layout":"2室2厅1卫","area":"约89.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/b7007b474fd5146ee60e7ba250913f1f/240x180n.jpg","name":"D户型：","layout":"2室2厅1卫","area":"约80.00平米"}]	恒大佘山首府
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/deb5c9d94b29b6acb44f2ada5d85b623/240x180n.jpg","name":"C户型：","layout":"3室2厅2卫","area":"约133.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/e2ee610b8bb50562073818bfef62f23d/240x180n.jpg","name":"B户型：","layout":"3室2厅1卫","area":"约114.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/e6cc991ac8f4b7bc76ef963f8b30572f/240x180n.jpg","name":"A户型：","layout":"4室2厅3卫","area":"约146.00平米"}]	贝尚湾
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/f6375ff183cf372088490aed8077bb5f/240x180n.jpg","name":"G1户型：","layout":"3室2厅1卫","area":"约103.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/bf6ca72e7bb39a0157cedc7e80e91f12/240x180n.jpg","name":"F2户型：","layout":"2室2厅1卫","area":"约88.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/5f72e77b83981de64bbdede16a94c632/240x180n.jpg","name":"F1户型：","layout":"2室2厅1卫","area":"约84.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/c50857744409e1015d521ce65ab0fdc7/240x180n.jpg","name":"B1户型：","layout":"2室2厅1卫","area":"约87.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/5a8649692176bd662f218a8f90d43124/240x180n.jpg","name":"B2户型：","layout":"2室2厅1卫","area":"约92.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/79fe665f8e0d35993461064de4d5c81e/240x180n.jpg","name":"C1户型：","layout":"3室2厅1卫","area":"约118.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/0516f29fa8ef256d9ef277cbb3d85e1a/240x180n.jpg","name":"A户型：","layout":"1室2厅1卫","area":"约71.00平米"}]	好世凤翔苑
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/81128da252e82aebe389153ba26f9d3b/240x180n.jpg","name":"F户型：","layout":"3室2厅2卫","area":"约132.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/eddcb13437c9b14a70ede801858a7fe1/240x180n.jpg","name":"E户型：","layout":"2室2厅2卫","area":"约122.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/aaf32049539a56f136d29a9ddce9363f/240x180n.jpg","name":"D户型：","layout":"2室2厅1卫","area":"约105.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/864ecc83a6c6eb91dfa5d8faad6ad743/240x180n.jpg","name":"C户型：","layout":"4室2厅3卫","area":"约190.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/68c335a97dbee1cc910fd1e329e32267/240x180n.jpg","name":"A户型：","layout":"3室2厅2卫","area":"约138.00平米"}]	地产·尚海郦景
anjuke	[{"img":"http://d.pic1.ajkimg.com/display/xinfang/387e6df4f8b802ec68cac7304923a290/240x180n.jpg","name":"璟萃：","layout":"2室2厅2卫","area":"约118.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/2faa58c4c17e3775a5cedbf4f70d8a11/240x180n.jpg","name":"天萃：","layout":"4室2厅2卫","area":"约138.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/4aa9cba2b8da469d66f255badad739b9/240x180n.jpg","name":"珑萃：","layout":"3室2厅2卫","area":"约95.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/bf9caeadb307f50c0fae4c8e2b9f077a/240x180n.jpg","name":"峯萃：","layout":"3室2厅2卫","area":"约118.00平米"}]	静安府
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/d60fa98f9122d5434d2a05ebbbc4266b/240x180n.jpg","name":"B户型：","layout":"2室2厅1卫","area":"约78.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/e7dff9f49b14a35c02c2437eb61f8c01/240x180n.jpg","name":"A户型：","layout":"3室2厅1卫","area":"约88.00平米"}]	东亚阳光里
